CAREHOME_id	Box_id	caseload_month	wmd.caseload_yr -8	caseload_size	Days_Since_Last_Reading	observ_month	wmd.observ_yr -8	BP	Pulse	O2	Temp	NEWS2(0-4)	NEWS2(5-6)	NEWS2(7+)	NEWS2
XNH831	BOX1	JUNE 	2013	6	66	JUNE 	2013	0	0	0	0	0	0	0	0
XL2G21	BOX2	JUNE 	2013	8	110	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX3	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX4	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX5	JUNE 	2013	3	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX6	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX7	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX8	JUNE 	2013	4	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX9	JUNE 	2013	6	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX10	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX11	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX12	JUNE 	2013	4	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX13	JUNE 	2013	8	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX14	JUNE 	2013	4	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX15	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX16	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX17	JUNE 	2013	5	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX18	JUNE 	2013	3	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX19	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AC1	BOX20	JUNE 	2013	5	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2FE1	BOX21	JUNE 	2013	1	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2FE1	BOX22	JUNE 	2013	4	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2AG1	BOX23	JUNE 	2013	34	3	JUNE 	2013	2	4	2	2	1	0	0	1
XL2AK1	BOX24	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XNGJY1	BOX25	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2CA1	BOX26	JUNE 	2013	16	54	JUNE 	2013	0	0	0	0	0	0	0	0
XL2CJ1	BOX27	JUNE 	2013	17	1	JUNE 	2013	12	24	12	12	9	2	0	11
XM2AN1	BOX28	JUNE 	2013	5	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM2AN1	BOX29	JUNE 	2013	7	89	JUNE 	2013	0	0	0	0	0	0	0	0
XL2CV1	BOX30	JUNE 	2013	15	90	JUNE 	2013	0	0	0	0	0	0	0	0
XM5A81	BOX31	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2DF1	BOX32	JUNE 	2013	20	81	JUNE 	2013	0	0	0	0	0	0	0	0
XLRWW1	BOX33	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2DQ1	BOX34	JUNE 	2013	8	27	JUNE 	2013	1	2	1	1	0	0	1	1
XL2DQ1	BOX35	JUNE 	2013	5	6	JUNE 	2013	2	4	2	2	1	1	0	2
XLKL41	BOX36	JUNE 	2013	1	124	JUNE 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX37	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX38	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX39	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XLKL41	BOX40	JUNE 	2013	0	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2ER1	BOX41	JUNE 	2013	7	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2ER1	BOX42	JUNE 	2013	16	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2ER1	BOX43	JUNE 	2013	16	0	JUNE 	2013	0	0	0	0	0	0	0	0
XM0GT1	BOX44	JUNE 	2013	24	24	JUNE 	2013	3	6	3	4	3	0	0	3
XL2EC1	BOX45	JUNE 	2013	11	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2EC1	BOX46	JUNE 	2013	2	0	JUNE 	2013	0	0	0	0	0	0	0	0
XL2EC1	BOX47	JUNE 	2013	8	0	JUNE 	2013	0	0	0	0	0	0	0	0
XN5X51	BOX48	JUNE 	2013	4	13	JUNE 	2013	4	7	3	3	2	0	0	2
XM61M1	BOX49	JUNE 	2013	5	38	JUNE 	2013	0	0	0	0	0	0	0	0
